review_id,source_key,review_decision,selected_core_id,losing_core_ids,name_source,geometry_policy,review_note,updated_at
ward:MMR018007701505:row1674:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR018007701505:row1674:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,5989,,,,,2026-09-21T10:13:30.985Z
ward:MMR018007701502:row1675:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR018007701502:row1675:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,5989,,,,,2026-09-21T10:13:39.927Z
ward:MMR013029701504:row1841:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013029701504:row1841:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,5119,,,,one_unique: MIMU matches survivor 5119; other CoreMaps merged,2026-09-21T11:22:27.391Z
ward:MMR013029701504:row1840:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013029701504:row1840:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,reject_source_error,,,,,,2026-09-21T10:14:08.381Z
ward:MMR018007701503:row1676:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR018007701503:row1676:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,5989,,,,,2026-09-21T10:14:18.632Z
ward:MMR010005701502:row1912:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR010005701502:row1912:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6211,,,,one_unique: MIMU matches survivor 6211; other CoreMaps merged,2026-09-21T11:20:54.717Z
village_tract:MMR017008050:row33:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017008050:row33:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7200,,,,,2026-09-21T10:14:28.970Z
village_tract:MMR017016002:row415:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017016002:row415:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7347,,,,,2026-09-21T10:14:36.635Z
village_tract:MMR017022056:row556:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017022056:row556:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7249,,,,,2026-09-21T10:14:40.479Z
village_tract:MMR017018019:row613:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017018019:row613:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7387,,,,,2026-09-21T10:14:43.113Z
village_tract:MMR017020015:row787:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017020015:row787:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7331,,,,,2026-09-21T10:14:50.533Z
village_tract:MMR017002008:row1156:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017002008:row1156:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7342,,,,,2026-09-21T10:16:32.247Z
village_tract:MMR017002071:row1169:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017002071:row1169:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7343,,,,,2026-09-21T10:16:41.451Z
village_tract:MMR017002036:row1177:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017002036:row1177:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7338,,,,,2026-09-21T10:16:49.533Z
village_tract:MMR017005060:row1300:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017005060:row1300:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7274,,,,,2026-09-21T10:16:54.156Z
village_tract:MMR017005004:row1315:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017005004:row1315:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7274,,,,,2026-09-21T10:24:17.886Z
village_tract:MMR017001010:row1477:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017001010:row1477:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7361,,,,,2026-09-21T10:24:27.526Z
village_tract:MMR017001034:row1482:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017001034:row1482:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7346,,,,,2026-09-21T10:24:44.994Z
village_tract:MMR017001037:row1491:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,village_tract:MMR017001037:row1491:village_tract_boundary_Ayeyarwady_v94.zip_mmr_ady_polbnda_adm4_mimu_250k.shp,keep_both,7357,,,,,2026-09-21T10:24:51.298Z
