review_id,source_key,review_decision,selected_core_id,losing_core_ids,name_source,geometry_policy,review_note,updated_at
village:182238:row5611:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village:182238:row5611:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,merge_confirmed_duplicate,139778,139784,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (0.0 m),2026-09-21T10:42:55.297Z
village:182357:row5681:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village:182357:row5681:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,merge_confirmed_duplicate,139825,139844,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (0.0 m),2026-09-21T10:42:55.297Z
village:182075:row5702:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village:182075:row5702:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,merge_confirmed_duplicate,170375,139820;139769;139734,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (32.1 m),2026-09-21T10:42:55.297Z
village:183833:row5747:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village:183833:row5747:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,merge_confirmed_duplicate,141757,141743,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (141.3 m),2026-09-21T10:42:55.297Z
village:183738:row5755:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village:183738:row5755:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,merge_confirmed_duplicate,141756,141725,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (0.0 m),2026-09-21T10:42:55.297Z
village:183759:row5791:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village:183759:row5791:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,merge_confirmed_duplicate,141757,141743,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (97.2 m),2026-09-21T10:42:55.297Z
village:183745:row5830:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village:183745:row5830:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,merge_confirmed_duplicate,141725,141756,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (0.0 m),2026-09-21T10:42:55.297Z
village:164446:row40:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,village:164446:row40:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,merge_confirmed_duplicate,166344,172715,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (68.3 m),2026-09-21T10:42:55.297Z
village:164350:row124:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,village:164350:row124:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,merge_confirmed_duplicate,172714,166342,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (24.9 m),2026-09-21T10:42:55.297Z
village:164553:row180:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,village:164553:row180:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,merge_confirmed_duplicate,115650,172135,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (156.6 m),2026-09-21T10:42:55.297Z
village:165169:row323:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,village:165169:row323:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,merge_confirmed_duplicate,170258,170257,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (29.6 m),2026-09-21T10:42:55.297Z
village:165147:row381:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,village:165147:row381:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,merge_confirmed_duplicate,150543,161462,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (0.0 m),2026-09-21T10:42:55.297Z
village:165040:row395:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,village:165040:row395:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,merge_confirmed_duplicate,150524,161483,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (0.0 m),2026-09-21T10:42:55.297Z
village:218022:row401:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,village:218022:row401:village_point_Chin_v96.zip_mmr_chn_pplp2_250k_wfp_mimu.shp,merge_confirmed_duplicate,150509,161481,,,auto: merge CoreMap village duplicates; survivor = nearest to MIMU (0.0 m),2026-09-21T10:42:55.297Z
