source_pcode,source_row,match_id,match_public_id,hard_check_pass,status,checks_json,metrics_json
MMR018002701509,1574,6023,dda8330a-acd9-4e72-a9a5-d6786c100cca,True,ACCEPTED,"{""approved_township_matches"": true, ""entity_type_matches"": true, ""strong_my_or_bilingual_identity"": true, ""geometry_supports_identity"": true, ""one_to_one_source_assignment"": true, ""existing_geometry_unchanged_policy"": true, ""pre_match_geom_sha256"": ""4020c56d3bd3d2d6dcb1cd908be04d9da58ed94a02c22e1be3b580b8b6b12ff3""}","{""source_coverage_pct"": 98.44000000000001, ""candidate_coverage_pct"": 99.25, ""centroid_dist_m"": 9.4}"
MMR013029701504,1840,5119,4eccfe61-d04c-46d4-bc2f-0fd6ce3bcad2,True,ACCEPTED,"{""approved_township_matches"": true, ""entity_type_matches"": true, ""strong_my_or_bilingual_identity"": true, ""geometry_supports_identity"": true, ""one_to_one_source_assignment"": true, ""existing_geometry_unchanged_policy"": true, ""pre_match_geom_sha256"": ""d99a2fb29eede47d274055042c0333721b842f283e802f8fa710248e1676a310""}","{""source_coverage_pct"": 98.75, ""candidate_coverage_pct"": 98.37, ""centroid_dist_m"": 3.1}"
MMR005011701503,1589,6797,30309448-fabf-4601-ae5c-48a8ed285394,True,ACCEPTED,"{""approved_township_matches"": true, ""entity_type_matches"": true, ""strong_my_or_bilingual_identity"": true, ""geometry_supports_identity"": true, ""one_to_one_source_assignment"": true, ""existing_geometry_unchanged_policy"": true, ""pre_match_geom_sha256"": ""1200f4fbb55252edd440182ff56ba6a81a337a678e327663b934279e5a6464cc""}","{""source_coverage_pct"": 98.4, ""candidate_coverage_pct"": 99.38, ""centroid_dist_m"": 5.0}"
MMR005011701503,1611,6794,78361f3d-1c68-4771-9960-71409026dbc6,True,ACCEPTED,"{""approved_township_matches"": true, ""entity_type_matches"": true, ""strong_my_or_bilingual_identity"": true, ""geometry_supports_identity"": true, ""one_to_one_source_assignment"": true, ""existing_geometry_unchanged_policy"": true, ""pre_match_geom_sha256"": ""1e47f02bbbeaf305740c3670d88c53dd46fc9803aab9037fd593626948055c50""}","{""source_coverage_pct"": 99.26, ""candidate_coverage_pct"": 99.22, ""centroid_dist_m"": 5.5}"
