id,postal_code,township_admin_area_id,local_admin_area_id,match_status,match_method,source_version,updated_at
56,0101227,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
57,0101228,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
58,0101229,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
59,0102001,6668,,missing_local_area,missing_local,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
60,0102002,6668,,missing_local_area,missing_local,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
61,0102003,6668,,missing_local_area,missing_local,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
62,0102004,6668,,missing_local_area,missing_local,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
63,0102200,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
64,0102201,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
65,0102202,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
66,0102203,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
67,0102204,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
68,0102205,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
69,0102206,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
70,0102207,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
71,0102208,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
72,0102209,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
73,0102210,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
74,0102211,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
75,0102212,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
76,0102213,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
77,0102214,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
78,0102215,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
79,0102216,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
80,0102217,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
81,0102218,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
82,0102219,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
83,0102220,6668,,missing_local_area,missing_local,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
84,0102221,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
85,0102222,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
86,0102223,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
87,0102224,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
88,0102225,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
89,0102226,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
90,0102227,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
91,0102228,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
92,0102229,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
93,0102230,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
94,0102231,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
95,0102232,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
96,0102233,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
97,0102234,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
98,0102235,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
99,0102236,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
100,0102237,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
101,0102238,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
102,0102239,6668,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
