postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_id,matched_local_admin_area_id,name_evidence,match_method,duplicate_extra_source_rows,source_row_count_en,source_row_count_my,reason,matched_township_public_id,matched_local_admin_public_id,v2_status,v2_reason
0101016,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ယုဇန ရပ်ကွက်,Yu Za Na Quarter,ward,6610,6605,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,6f0361ac-5cfb-46f9-94bf-1cd3d72cce1d,linked_exact_local_area,Unique exact approved local-admin under matched township
0101017,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြေမြင့် ရပ်ကွက်,Myay Myint Quarter,ward,6610,6606,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,c0667eb7-6d8d-4f73-90c9-516535e926d2,linked_exact_local_area,Unique exact approved local-admin under matched township
0101018,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရွှေစက် ရပ်ကွက်,Shwe Set Quarter,ward,6610,6658,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,2d6e4939-4778-460f-8dd5-99bdb41f5c06,linked_exact_local_area,Unique exact approved local-admin under matched township
0101019,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မန်ခိန် ရပ်ကွက်,Man Khein Quarter,ward,6610,6656,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,bbaaf9fe-6f01-47dc-afcf-97ac83a1371e,linked_exact_local_area,Unique exact approved local-admin under matched township
0101020,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တပ်ကုန်း ရပ်ကွက်,Tat Kone Quarter,ward,6610,6650,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,988bb55f-0679-4452-86e0-a2bbb90d09d4,linked_exact_local_area,Unique exact approved local-admin under matched township
0101021,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,စီတာပူ ရပ်ကွက်,Si Tar Pu Quarter,ward,6610,6648,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,f66dbd29-06dd-47ad-8f2f-5c3404adfe23,linked_exact_local_area,Unique exact approved local-admin under matched township
0101022,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရမ်ပူ ရပ်ကွက်,Ram Pu Quarter,ward,6610,6637,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,5c2cc739-368c-40c2-b715-aa5b22a76671,linked_exact_local_area,Unique exact approved local-admin under matched township
0101023,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ကြက်ပေါင်ခြံ ရပ်ကွက်,Kyet Paung Chan Quarter,ward,6610,6640,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,302d4ccd-c195-4c33-b2ca-9e00355a0e8e,linked_exact_local_area,Unique exact approved local-admin under matched township
0101024,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြို့သစ်ကြီး ရပ်ကွက်,Myo Thit Gyi Quarter,ward,6610,6642,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,e9233924-aebd-464a-99fd-e8e954603571,linked_exact_local_area,Unique exact approved local-admin under matched township
0101025,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,လယ်ကုန်း ရပ်ကွက်,Lel Kone Quarter,ward,6610,6633,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,874c78e5-5da9-437c-aa29-438ec8cf85b0,linked_exact_local_area,Unique exact approved local-admin under matched township
