coremap_id,source_key,outcome,name_en,name_my
6333,03_Township:300,renamed,Mongpan,မိုင်းပန်
6468,03_Township:256,reparented,Lashio,လားရှိုး
6562,03_Township:247,reparented,Hseni,သိန္နီ
6479,03_Township:268,renamed,Mongyai,မိုင်းရယ်
6467,03_Township:284,renamed,Tangyan,တန့်ယန်း
6484,03_Township:282,reparented,Pangsang (Panghkam),ပန်ဆန်း (ပန်ခမ်း)
6456,03_Township:277,renamed,Narphan,နားဖန်း
6451,03_Township:283,renamed,Pangwaun,ပန်ဝိုင်
6488,03_Township:266,reparented,Mongmao,မိုင်းမော
6600,03_Township:269,renamed,Muse,မူဆယ်
6599,03_Township:272,renamed,Namhkan,နမ့်ခမ်း
6569,03_Township:254,renamed,Kutkai,ကွတ်ခိုင်
6551,03_Township:255,renamed,Kyaukme,ကျောက်မဲ
6524,03_Township:279,renamed,Nawnghkio,နောင်ချို
6523,03_Township:248,renamed,Hsipaw,သီပေါ
6560,03_Township:274,reparented,Namtu,နမ္မတူ
6394,03_Township:273,renamed,Namhsan,နမ့်ဆန်
6558,03_Township:267,renamed,Mongmit,မိုးမိတ်
6585,03_Township:261,renamed,Mabein,မဘိမ်း
6527,03_Township:264,renamed,Manton,မန်တုံ
6441,03_Township:253,reparented,Kunlong,ကွမ်းလုံ
6432,03_Township:245,reparented,Hopang,ဟိုပန်
6417,03_Township:257,renamed,Laukkaing,လောက်ကိုင်
6412,03_Township:251,renamed,Konkyan,ကုန်းကြမ်း
6328,03_Township:265,renamed,Matman,မက်မန်း
6360,03_Township:228,renamed,Kengtung,ကျိုင်းတုံ
6331,03_Township:234,renamed,Mongkhet,မိုင်းခတ်
6338,03_Township:238,reparented,Mongyang,မိုင်းယန်း
7526,03_Township:235,reparented,Mongla,မိုင်းလား
6372,03_Township:233,renamed,Monghsat,မိုင်းဆတ်
6312,03_Township:236,renamed,Mongping,မိုင်းပျဉ်း
6385,03_Township:237,reparented,Mongton,မိုင်းတုံ
6390,03_Township:241,renamed,Tachileik,တာချီလိတ်
6370,03_Township:232,renamed,Monghpyak,မိုင်းဖြတ်
