id,public_id,canonical_name,parent_id,parent_name,is_public_usable,verification_status,geometry_source
6892,30ca03d5-6bc5-457d-99f0-a5dae4aee99a,နွားထိုးကြီး,6721,မြင်းခြံခရိုင်,t,verified,
6897,ba2d7ed8-46c2-4600-82b0-2ce891dea030,မြေပုံ,7005,မြောက်ဦးခရိုင်,t,unverified,
6898,b5d72b9f-c4a4-4a98-89a3-195891569e96,မလှိုင်,6165,မိတ္ထီလာခရိုင်,t,verified,
6903,18497891-0384-4b32-98c9-08b93feed1f1,တောင်သာ,6721,မြင်းခြံခရိုင်,t,verified,
6905,68baff1b-998c-4994-8244-2fe2d9f63b74,ညောင်ဦး,7049,ညောင်ဦးခရိုင်,t,verified,
6914,972fde85-8ce2-48a4-b973-7faeefd60067,ပခုက္ကူ,6912,ပခုက္ကူခရိုင်,t,verified,
6916,f415d4d3-7d66-47ad-bbae-10e388fd10fa,ဆိပ်ဖြူ,6912,ပခုက္ကူခရိုင်,t,verified,
6922,7edf813a-edf2-48cd-8c2e-aa6fd19e3e18,မတူပီ,6921,မတူပီခရိုင်,t,verified,
6926,35042149-23a3-4a72-a88b-36326069306d,ဆော,6920,ဂန့်ဂေါခရိုင်,t,verified,
6927,231de333-b209-49f7-896e-fb9ce16d9957,ထီးလင်း,6920,ဂန့်ဂေါခရိုင်,t,verified,
6929,0f20a56c-a00d-4b9d-b295-40fec54cf542,ပေါက်,6912,ပခုက္ကူခရိုင်,t,verified,
6931,dc1a9828-8631-4051-bdea-5d3d45b96a86,မြိုင်,6912,ပခုက္ကူခရိုင်,t,verified,
6941,02191b8a-704d-444d-9c61-2fd279e40ed1,ပလက်ဝ,6921,မတူပီခရိုင်,t,verified,
6943,a3d8d95b-e0c8-4973-848a-b62ebf542d3d,မင်းတပ်,6948,မင်းတပ်ခရိုင်,t,verified,
6949,673e6f08-eaff-477b-bc3a-681598f36223,ကန်ပက်လက်,6948,မင်းတပ်ခရိုင်,t,verified,
6950,21053ec0-3c86-497e-9aed-d82667ca8b8a,မင်းပြား,7005,မြောက်ဦးခရိုင်,t,unverified,
6951,9507bdfe-ed00-46b7-9f9e-e4ec83debe07,မြောက်ဦး,7005,မြောက်ဦးခရိုင်,t,verified,
6960,9ad7c7bd-8c9d-48ce-85a4-72b48a60c052,ကျောက်တော်,7005,မြောက်ဦးခရိုင်,t,verified,
6965,775b6bc4-da21-4482-b9b3-c6f3f34965f1,ဘူးသီးတောင်,6967,မောင်တောခရိုင်,t,verified,
6966,6620e7fe-f387-484d-8ebb-58f02975674e,မောင်တော,6967,မောင်တောခရိုင်,t,verified,
6986,9ed96ae9-faa6-4198-9e03-b8db24ee490f,ရသေ့တောင်,6988,စစ်တွေခရိုင်,t,verified,
6987,bcd4d504-e27d-4861-b036-b4b857ff89d4,ပုဏ္ဏားကျွန်း,6988,စစ်တွေခရိုင်,t,verified,
6993,819f7b87-8dbf-4de5-98a2-5486f01ce478,စစ်တွေ,6988,စစ်တွေခရိုင်,t,verified,
7000,c7e446b4-6cbe-490a-8008-e766aa5f520e,ပေါက်တော,6988,စစ်တွေခရိုင်,t,unverified,
7018,781a6371-d321-4408-84f2-36c14d592f4e,မင်းဘူး(စကု)မြို့နယ်,7029,မင်းဘူးခရိုင်,t,verified,
7024,ac82df72-8e20-43e8-afd4-c406250ebe08,ပွင့်ဖြူ,7029,မင်းဘူးခရိုင်,t,verified,
7026,83a38b3f-0d35-44c5-9b40-7a53ef37bdcc,စေတုတ္တရာမြို့နယ်,7029,မင်းဘူးခရိုင်,t,verified,
7028,adc69753-da7e-446d-90d4-d97babb81457,ရေနံချောင်း,7053,မကွေးခရိုင်,t,verified,
7031,e05a66b5-54c8-49a1-ae5c-6c1397b0bb5d,ချောက်,7053,မကွေးခရိုင်,t,verified,
7033,e56e0039-0795-4131-8298-43d0fc96bbc4,စလင်း,7029,မင်းဘူးခရိုင်,t,verified,
7038,6769e22f-6fb0-4531-b2a9-543ea3b22586,နတ်မောက်,7053,မကွေးခရိုင်,t,verified,
7050,3f00393a-8c63-48f6-95ef-86c24469c174,ကျောက်ပန်းတောင်း,7049,ညောင်ဦးခရိုင်,t,verified,
7051,6b70ffb5-9038-49b1-ae7f-684427d4c4d4,မိတ္ထီလာ,6165,မိတ္ထီလာခရိုင်,t,verified,
7052,8f67450f-dd02-45c1-8d9d-d9d41ece6c35,ပျော်ဘွယ်,6068,ရမည်းသင်းခရိုင်,t,verified,
7071,0ed999bd-23c2-4cca-8abf-ebde524131d1,မြို့သစ်,7053,မကွေးခရိုင်,t,verified,
7072,5b67398c-0862-483b-960e-17ccb56205bc,မကွေး,7053,မကွေးခရိုင်,t,verified,
7076,3dbb574f-352d-4102-a2ed-2742a86cea07,တောင်တွင်းကြီး,7053,မကွေးခရိုင်,t,unverified,
7079,dbe4fdae-72a9-46ae-9b5c-31ef4f54acb7,ဥတ္တရသီရိ,6051,ဥတ္တရခရိုင်,t,unverified,
7081,64da25b6-6b6b-4dbe-aeea-7576a5ba3327,ဆင်ပေါင်ဝဲ,7128,ပြည်ခရိုင်,t,verified,
7090,a24a6a70-fe02-408e-9b16-b1957981e3bd,မင်းလှ,7128,ပြည်ခရိုင်,t,verified,
7096,34560ee0-e930-4424-afca-32e5bd27a0a4,ငဖဲ,7029,မင်းဘူးခရိုင်,t,verified,
7098,23fcc105-16fc-44f9-9a18-71955d34e0f2,အမ်း,7185,ကျောက်ဖြူခရိုင်,t,unverified,
7107,932e0135-105f-4d20-86df-4eef4c8eebf5,မင်းတုန်း,7128,ပြည်ခရိုင်,t,verified,
7109,30c03d09-353b-4f6f-bbe1-a748be68445c,တောင်ကုတ်,7173,သံတွဲခရိုင်,t,verified,
7114,c6f57d44-a1b3-40e8-b6d5-b4fefcac8138,ကံမ,7128,ပြည်ခရိုင်,t,verified,
7123,f18402bf-d644-4254-950b-a5120ecc0944,အောင်လံ,7128,ပြည်ခရိုင်,t,verified,
7127,3947a6a8-b983-4238-a4b8-141c76c2e268,သရက်,7128,ပြည်ခရိုင်,t,verified,
7137,7ef50b48-148f-4042-9152-f57229dc8ecf,ပေါက်ခေါင်း,7128,ပြည်ခရိုင်,t,verified,
7139,2f1f583a-5ab0-4e13-9357-13f5b8dc3ad4,ပြည်,7128,ပြည်ခရိုင်,t,verified,
7151,2f844ca1-4eb2-4911-b80b-2987d884fddd,ရွှေတောင်,7128,ပြည်ခရိုင်,t,verified,
7157,1cb6f236-e7e3-4b01-865c-04436c393602,သဲကုန်း,7128,ပြည်ခရိုင်,t,verified,
7160,d25c0246-f943-42a3-a97b-24f20150614f,နတ်တလင်း,7170,သာယာဝတီခရိုင်,t,verified,
7161,964c827f-a171-4b04-b1a7-02b6c2198bde,ပေါင်းတည်,7128,ပြည်ခရိုင်,t,verified,
7162,df682010-f157-4ea8-9528-353045731ea5,ဇီးကုန်း,7170,သာယာဝတီခရိုင်,t,verified,
7163,9fd8601d-df57-4568-b7f9-07bfbee0988f,ကြို့ပင်ကောက်,7170,သာယာဝတီခရိုင်,t,unverified,
7168,5b5b8580-77e5-423a-9e78-c9dee4c12070,အုတ်ဖို,7170,သာယာဝတီခရိုင်,t,verified,
7171,3465bc05-4c64-4087-b9e6-787b2ff029d2,မိုးညို,7170,သာယာဝတီခရိုင်,t,verified,
7172,9363484c-e4e5-45c6-b029-4d5caca66af0,ကြံခင်း,7155,ဟင်္သာတခရိုင်,t,verified,
7176,617a076d-421a-4c29-a5f9-e118e2357ee2,သံတွဲ,7173,သံတွဲခရိုင်,t,verified,
7184,73a6ff73-0d1a-4839-b932-af06688c50f9,ရမ်းဗြဲ,7185,ကျောက်ဖြူခရိုင်,t,unverified,
7186,57660ae1-9f7c-4c08-a4fe-33aa56abe364,သာပေါင်း,7363,ပုသိမ်ခရိုင်,t,verified,
7187,938a79c1-c5f0-4a7a-9f2a-120dff8c8750,ရေကြည်,7363,ပုသိမ်ခရိုင်,t,verified,
7188,c2000745-f2c8-42a4-b31d-a10beb1f5db9,ဂွ,7173,သံတွဲခရိုင်,t,verified,
7194,79a3fb1a-6ac3-4c58-bbe4-60bd582180c8,လေးမျက်နှာ,7155,ဟင်္သာတခရိုင်,t,verified,
7208,c40f3356-d1bc-4113-92bd-c77e20f02dcd,ဟင်္သာတ,7155,ဟင်္သာတခရိုင်,t,verified,
7215,3df6f30f-b6a6-4180-9d69-681c02c7653e,အင်္ဂပူ,7155,ဟင်္သာတခရိုင်,t,verified,
7224,f03b16e4-2bbd-42f2-a62b-ad95b37579d6,မင်းလှ,7170,သာယာဝတီခရိုင်,t,verified,
7225,b5d53caf-38cc-4e4a-a62a-d498b35a6ed7,လက်ပံတန်း,7170,သာယာဝတီခရိုင်,t,verified,
7232,560d526f-96ec-4c02-9e4e-16d7c1fec577,သာယာဝတီ,7170,သာယာဝတီခရိုင်,t,verified,
7233,93303d13-3738-4d01-97f7-5a5b42120022,တိုက်ကြီး,7234,ရန်ကုန်(မြောက်ပိုင်း),t,verified,
7259,9d3a5b63-0902-4dcd-aa02-ddc3480fb3b5,ဇလွန်,7155,ဟင်္သာတခရိုင်,t,verified,
7282,7c7a5171-9546-4ae7-b409-7b184514b5c8,ကျုံပျော်,7363,ပုသိမ်ခရိုင်,t,verified,
7286,fc5fb99f-0ec5-41d1-b5b0-064196e6385f,ကျောင်းကုန်း,7363,ပုသိမ်ခရိုင်,t,verified,
7295,da4ff5bf-c34c-4316-be20-20173fa9c4d6,ဓနုဖြူ,7299,မအူပင်ခရိုင်,t,verified,
7298,3bb35289-a4da-41a6-ba7f-696085af43bc,ထန်းတပင်,7234,ရန်ကုန်(မြောက်ပိုင်း),t,verified,
7300,3661bfa2-9e70-46c2-a089-13e59e14e8fe,တွံတေး,12,ရန်ကုန်(တောင်ပိုင်း),t,verified,
7309,ff251041-06ea-45a0-aa08-431814657fff,ကျိုက်လတ်,7428,ဖျာပုံခရိုင်,t,needs_fix,coremap_manual
