source_entity_type,source_pcode,source_name_en,source_name_my,source_region,source_ts_pcode,source_ts_name,source_parent_path,source_row,approved_township_id,prior_action,prior_reason,candidate_coremap_ids,candidate_detail,proposed_decision,proposed_match_core_id,proposed_reason,requires_user_decision,preview_source,preview_overlay,generated_at
ward,MMR013018701526,No (106) Ward,အမှတ် (၁၀၆) ရပ်ကွက်,Yangon,MMR013018,Dagon Myothit (South),Yangon > Yangon (East) > Dagon Myothit (South) > Dagon Myothit (South) Town,1133,5231,reject_source_error,Multiple CoreMap WVT rows share exact normalized name under township,5182;5183,"5182/79e13a25-4ab4-458e-acf0-a0f34ef59969:အမှတ် (၁၀၆) ရပ်ကွက်(type=ward;om=0.9993;oc=0.996;d=1.5;deps_child=0,settle=0,postal=0) || 5183/b463e80f-9d80-4de1-b135-1e73f108eacb:အမှတ် (၁၀၆) ရပ်ကွက်(type=ward;om=0.9993;oc=0.996;d=1.5;deps_child=0,settle=0,postal=0)",merge_confirmed_duplicate,5182,"Multiple CoreMap wards share exact name and near-identical geometry; propose merge onto highest-overlap survivor, then match source.",false,02-rejected-review-previews/admin/MMR013018701526_row1133.geojson,02-rejected-review-previews/admin/MMR013018701526_overlay.geojson,2026-09-21T15:13:50Z
ward,MMR013018701525,No (105) Ward,အမှတ် (၁၀၅) ရပ်ကွက်,Yangon,MMR013018,Dagon Myothit (South),Yangon > Yangon (East) > Dagon Myothit (South) > Dagon Myothit (South) Town,1134,5231,reject_source_error,Multiple CoreMap WVT rows share exact normalized name under township,5185;5186,"5185/29f7a6de-8a50-42d2-bc07-6246d61027e0:အမှတ် (၁၀၅) ရပ်ကွက်(type=ward;om=0.9993;oc=0.9948;d=1.4;deps_child=0,settle=0,postal=0) || 5186/df5a528f-d747-437d-a63f-c8deaee40b89:အမှတ် (၁၀၅) ရပ်ကွက်(type=ward;om=0.9993;oc=0.9948;d=1.4;deps_child=0,settle=0,postal=0)",merge_confirmed_duplicate,5185,"Multiple CoreMap wards share exact name and near-identical geometry; propose merge onto highest-overlap survivor, then match source.",false,02-rejected-review-previews/admin/MMR013018701525_row1134.geojson,02-rejected-review-previews/admin/MMR013018701525_overlay.geojson,2026-09-21T15:13:50Z
ward,MMR007008701505,Gant Gaw Waing Ward,ဂန့်ဂေါ်ဝိုင်းရပ်ကွက်,Bago (East),MMR007008,Shwegyin,Bago (East) > Bago > Shwegyin > Shwegyin Town,1421,5920,reject_source_error,Multiple CoreMap WVT rows share exact normalized name under township,5891;5897,"5891/193dd29c-4c4e-452d-a77e-5e7d0c207042:ဂန့်ဂေါ်ဝိုင်းရပ်ကွက်(type=ward;om=0.9811;oc=0.9828;d=5.6;deps_child=0,settle=0,postal=0) || 5897/fd127513-b00a-49ba-9761-07474aed3328:ဂန့်ဂေါ်ဝိုင်းရပ်ကွက်(type=ward;om=0.9811;oc=0.9828;d=5.6;deps_child=0,settle=0,postal=0)",merge_confirmed_duplicate,5891,"Multiple CoreMap wards share exact name and near-identical geometry; propose merge onto highest-overlap survivor, then match source.",false,02-rejected-review-previews/admin/MMR007008701505_row1421.geojson,02-rejected-review-previews/admin/MMR007008701505_overlay.geojson,2026-09-21T15:13:50Z
ward,MMR010018701504,Zay Ward,ဈေးရပ်ကွက်,Mandalay,MMR010018,Taungtha,Mandalay > Myingyan > Taungtha > Taungtha Town,1546,6903,reject_source_error,Multiple CoreMap WVT rows share exact normalized name under township,6907;6908,"6907/aca3cb9b-5016-49e1-84e4-fcc6a7fe1cd7:ဈေးရပ်ကွက်(type=ward;om=0.969;oc=0.955;d=8.8;deps_child=0,settle=0,postal=0) || 6908/e32465e7-619b-4bf9-98a3-b1cd445adcb6:ဈေးရပ်ကွက်(type=ward;om=0.969;oc=0.955;d=8.8;deps_child=0,settle=0,postal=0)",merge_confirmed_duplicate,6907,"Multiple CoreMap wards share exact name and near-identical geometry; propose merge onto highest-overlap survivor, then match source.",false,02-rejected-review-previews/admin/MMR010018701504_row1546.geojson,02-rejected-review-previews/admin/MMR010018701504_overlay.geojson,2026-09-21T15:13:50Z
ward,MMR018002701509,Ba La Theik Di Ward,ဗလသိဒ္ဓိရပ်ကွက်,Nay Pyi Taw,MMR018002,Za Bu Thi Ri,Nay Pyi Taw > Det Khi Na > Za Bu Thi Ri > Za Bu Thi Ri Town,1574,6029,reject_source_error,Multiple CoreMap WVT rows share exact normalized name under township,6023;6025,"6023/dda8330a-acd9-4e72-a9a5-d6786c100cca:ဗလသိဒ္ဓိရပ်ကွက်(type=ward;om=0.9844;oc=0.9925;d=9.4;deps_child=0,settle=0,postal=0) || 6025/3a9ddc81-23ca-43a9-bbf7-8b2ce67cc57a:ဗလသိဒ္ဓိရပ်ကွက်(type=ward;om=0.3574;oc=0.1147;d=674.9;deps_child=0,settle=0,postal=0)",match_existing,6023,Unique near-full polygon overlap with core 6023 (dda8330a-acd9-4e72-a9a5-d6786c100cca); other same-name rows are likely duplicates (6025).,false,02-rejected-review-previews/admin/MMR018002701509_row1574.geojson,02-rejected-review-previews/admin/MMR018002701509_overlay.geojson,2026-09-21T15:13:50Z
ward,MMR005011701503,Ma Har Myaing Ward,မဟာမြိုင်ရပ်ကွက်,Sagaing,MMR005011,Taze,Sagaing > Shwebo > Taze > Taze Town,1589,6766,reject_source_error,Multiple CoreMap WVT rows share exact normalized name under township,6794;6797,"6794/78361f3d-1c68-4771-9960-71409026dbc6:မဟာမြိုင်ရပ်ကွက်(type=ward;om=0.0068;oc=0.0034;d=597.6;deps_child=0,settle=0,postal=0) || 6797/30309448-fabf-4601-ae5c-48a8ed285394:မဟာမြိုင်ရပ်ကွက်(type=ward;om=0.984;oc=0.9938;d=5.0;deps_child=0,settle=0,postal=0)",match_existing,6797,Unique near-full polygon overlap with core 6797 (30309448-fabf-4601-ae5c-48a8ed285394); other same-name rows are likely duplicates (6794).,false,02-rejected-review-previews/admin/MMR005011701503_row1589.geojson,02-rejected-review-previews/admin/MMR005011701503_overlay.geojson,2026-09-21T15:13:50Z
ward,MMR005011701503,Ma Har Myaing Ward,မဟာမြိုင်ရပ်ကွက်,Sagaing,MMR005011,Taze,Sagaing > Shwebo > Taze > Taze Town,1611,6766,reject_source_error,Multiple CoreMap WVT rows share exact normalized name under township,6794;6797,"6794/78361f3d-1c68-4771-9960-71409026dbc6:မဟာမြိုင်ရပ်ကွက်(type=ward;om=0.9926;oc=0.9922;d=5.5;deps_child=0,settle=0,postal=0) || 6797/30309448-fabf-4601-ae5c-48a8ed285394:မဟာမြိုင်ရပ်ကွက်(type=ward;om=0.0024;oc=0.0049;d=597.5;deps_child=0,settle=0,postal=0)",match_existing,6794,Unique near-full polygon overlap with core 6794 (78361f3d-1c68-4771-9960-71409026dbc6); other same-name rows are likely duplicates (6797).,false,02-rejected-review-previews/admin/MMR005011701503_row1611.geojson,02-rejected-review-previews/admin/MMR005011701503_overlay.geojson,2026-09-21T15:13:50Z
ward,MMR013029701504,Taung Bet Paing Ward,တောင်ဘက်ပိုင်းရပ်ကွက်,Yangon,MMR013029,Kungyangon,Yangon > Yangon (South) > Kungyangon > Kungyangon Town,1840,5112,reject_source_error,Multiple CoreMap WVT rows share exact normalized name under township,5113;5119,"5113/47b76aab-40fa-49e9-96a0-f44e42b6d630:တောင်ဘက်ပိုင်းရပ်ကွက်(type=ward;om=0.0037;oc=0.0073;d=1062.2;deps_child=0,settle=0,postal=0) || 5119/4eccfe61-d04c-46d4-bc2f-0fd6ce3bcad2:တောင်ဘက်ပိုင်းရပ်ကွက်(type=ward;om=0.9875;oc=0.9837;d=3.1;deps_child=0,settle=0,postal=0)",match_existing,5119,Unique near-full polygon overlap with core 5119 (4eccfe61-d04c-46d4-bc2f-0fd6ce3bcad2); other same-name rows are likely duplicates (5113).,false,02-rejected-review-previews/admin/MMR013029701504_row1840.geojson,02-rejected-review-previews/admin/MMR013029701504_overlay.geojson,2026-09-21T15:13:50Z
