postal_code,source_row_count_en,source_row_count_my,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_pcode,township_admin_area_id,local_pcode,local_admin_area_id,match_status,match_method,candidate_township_pcodes,candidate_local_pcodes,review_reason
0101021,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Si Tar Pu Quarter,စီတာပူ ရပ်ကွက်,ward,MMR001001,6610,MMR001001701521,6648,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701521,
0101022,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ram Pu Quarter,ရမ်ပူ ရပ်ကွက်,ward,MMR001001,6610,MMR001001701522,6637,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701522,
0101023,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Kyet Paung Chan Quarter,ကြက်ပေါင်ခြံ ရပ်ကွက်,ward,MMR001001,6610,MMR001001701523,6640,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701523,
0101024,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Myo Thit Gyi Quarter,မြို့သစ်ကြီး ရပ်ကွက်,ward,MMR001001,6610,MMR001001701524,6642,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701524,
0101025,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Lel Kone Quarter,လယ်ကုန်း ရပ်ကွက်,ward,MMR001001,6610,MMR001001701525,6633,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701525,
0101026,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shwe Aik Quarter,ရွှေအိုက် ရပ်ကွက်,ward,MMR001001,6610,MMR001001701526,6645,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701526,
0101027,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shwe Pyi Thar Quarter,ရွှေပြည်သာ ရပ်ကွက်,ward,MMR001001,6610,MMR001001701527,6643,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701527,
0101028,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pan Ma Ti Quarter,ပမ္မတီး ရပ်ကွက်,ward,MMR001001,6610,MMR001001701528,6644,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701528,
0101200,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Alam Village Tract,အာလမ် ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001001,,township_only,exact_township_name,MMR001001,MMR001001001,
0101201,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nawng Nang Village Tract,နောင်နန်း ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001002,,township_only,exact_township_name,MMR001001,MMR001001002,
