postal_code,source_row_count_en,source_row_count_my,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_pcode,township_admin_area_id,local_pcode,local_admin_area_id,match_status,match_method,candidate_township_pcodes,candidate_local_pcodes,review_reason
0164001,1,1,Kachin State,ကချင်ပြည်နယ်,Kan Paik Ti Town,ကန်ပိုက်တီ မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001002,MMR001002701501;MMR001002702501;MMR001002703501,Identity is not proven; do not guess or create geometry
0164002,1,1,Kachin State,ကချင်ပြည်နယ်,Kan Paik Ti Town,ကန်ပိုက်တီ မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001002,MMR001002701502;MMR001002702502;MMR001002703502,Identity is not proven; do not guess or create geometry
0164003,1,1,Kachin State,ကချင်ပြည်နယ်,Kan Paik Ti Town,ကန်ပိုက်တီ မြို့,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001002,MMR001002701503;MMR001002702503;MMR001002703503,Identity is not proven; do not guess or create geometry
0166002,1,1,Kachin State,ကချင်ပြည်နယ်,Nammatee Town,နမ္မတီး မြို့,Myo U Quarter,မြို့ဦး ရပ်ကွက်,ward,MMR001008,6660,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001008,MMR001008701509;MMR001008702502,Identity is not proven; do not guess or create geometry
0171001,1,1,Kachin State,ကချင်ပြည်နယ်,Myo Hla Town,မြို့လှ မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR001011,6589,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001011,MMR001011701501;MMR001011702501,Identity is not proven; do not guess or create geometry
0171002,1,1,Kachin State,ကချင်ပြည်နယ်,Myo Hla Town,မြို့လှ မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR001011,6589,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001011,MMR001011701502;MMR001011702502,Identity is not proven; do not guess or create geometry
0171003,1,1,Kachin State,ကချင်ပြည်နယ်,Myo Hla Town,မြို့လှ မြို့,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR001011,6589,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001011,MMR001011701503;MMR001011702503,Identity is not proven; do not guess or create geometry
0171004,1,1,Kachin State,ကချင်ပြည်နယ်,Myo Hla Town,မြို့လှ မြို့,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,MMR001011,6589,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001011,MMR001011701504;MMR001011702504,Identity is not proven; do not guess or create geometry
0201002,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Nanyun Township,နန်းယွန်း မြို့နယ်,Myo Ma Quarter,မြို့မ ရပ်ကွက်,ward,MMR005037,6674,,,ambiguous_local_admin,exact_township_name,MMR005037,MMR005037701502;MMR005037703501,Identity is not proven; do not guess or create geometry
0205231,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Homalin Township,ဟုမ္မလင်း မြို့နယ်,Hin Naung Village Tract,ဟင်နောင် ကျေးရွာအုပ်စု,village_tract,MMR005034,6701,,,ambiguous_local_admin,exact_township_name,MMR005034,MMR005034032;MMR005034073,Identity is not proven; do not guess or create geometry
0205272,1,1,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Homalin Township,ဟုမ္မလင်း မြို့နယ်,Hin Naung Village Tract,ဟင်နောင် ကျေးရွာအုပ်စု,village_tract,MMR005034,6701,,,ambiguous_local_admin,exact_township_name,MMR005034,MMR005034032;MMR005034073,Identity is not proven; do not guess or create geometry
