postal_code,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_admin_area_id,local_admin_area_id,match_status,match_method,review_reason
0101026,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shwe Aik Quarter,ရွှေအိုက် ရပ်ကွက်,ward,6610,6645,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101027,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shwe Pyi Thar Quarter,ရွှေပြည်သာ ရပ်ကွက်,ward,6610,6643,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101028,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pan Ma Ti Quarter,ပမ္မတီး ရပ်ကွက်,ward,6610,6644,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101205,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pam Ma Ti Village Tract,ပမ္မတီး ကျေးရွာအုပ်စု,village_tract,6610,6644,linked_local_area,exact_local_under_township,Unique local admin under matched township
0104001,Kachin State,ကချင်ပြည်နယ်,Machanbaw Township,မချမ်းဘော မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,6686,6683,linked_local_area,exact_local_under_township,Unique local admin under matched township
0104002,Kachin State,ကချင်ပြည်နယ်,Machanbaw Township,မချမ်းဘော မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,6686,6684,linked_local_area,exact_local_under_township,Unique local admin under matched township
0104003,Kachin State,ကချင်ပြည်နယ်,Machanbaw Township,မချမ်းဘော မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,6686,6678,linked_local_area,exact_local_under_township,Unique local admin under matched township
0104004,Kachin State,ကချင်ပြည်နယ်,Machanbaw Township,မချမ်းဘော မြို့နယ်,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,6686,6677,linked_local_area,exact_local_under_township,Unique local admin under matched township
0108001,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,6623,6632,linked_local_area,exact_local_under_township,Unique local admin under matched township
0108002,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,6623,6629,linked_local_area,exact_local_under_township,Unique local admin under matched township
0108003,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,6623,6627,linked_local_area,exact_local_under_township,Unique local admin under matched township
0108004,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (4 Quarter,အမှတ် (၄) ရပ်ကွက်,ward,6623,6626,linked_local_area,exact_local_under_township,Unique local admin under matched township
0108005,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (5) Quarter,အမှတ် (၅) ရပ်ကွက်,ward,6623,6625,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110001,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Nam Yin Ward Quarter,နန့်ရင်း ရပ်ကွက်,ward,6660,6657,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110002,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Oe Tan Quarter,အိုးတန်း ရပ်ကွက်,ward,6660,6655,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110003,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Ah Le Quarter,အလယ် ရပ်ကွက်,ward,6660,6653,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110004,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Ah Shey Quarter,အရှေ့ ရပ်ကွက်,ward,6660,6652,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110005,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Zay Kone Quarter,ဈေးကုန်း ရပ်ကွက်,ward,6660,6654,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110006,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Nat Gyi Kone Quarter,နတ်ကြီးကုန်း ရပ်ကွက်,ward,6660,6651,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110007,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Ywar Thit Quarter,ရွာသစ် ရပ်ကွက်,ward,6660,6662,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110008,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Nawng Kaing Taw Quarter,နောင်ကိုင်တော် ရပ်ကွက်,ward,6660,6649,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110009,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Myo U Quarter,မြို့ဦး ရပ်ကွက်,ward,6660,6663,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110010,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Kyun Taw Quarter,ကျွန်းတော ရပ်ကွက်,ward,6660,6661,linked_local_area,exact_local_under_township,Unique local admin under matched township
0110200,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Ywar Thit Village Tract,ရွာသစ် ကျေးရွာအုပ်စု,village_tract,6660,6662,linked_local_area,exact_local_under_township,Unique local admin under matched township
0114001,Kachin State,ကချင်ပြည်နယ်,Mansi Township,မံစီ မြို့နယ်,Maw Ya Wa Di Quarter,မောရဝတီ ရပ်ကွက်,ward,6584,6613,linked_local_area,exact_local_under_township,Unique local admin under matched township
0114002,Kachin State,ကချင်ပြည်နယ်,Mansi Township,မံစီ မြို့နယ်,Jein Hpawt Myay Quarter,ဂျိန်းဖော့မြေ ရပ်ကွက်,ward,6584,6543,linked_local_area,exact_local_under_township,Unique local admin under matched township
0114003,Kachin State,ကချင်ပြည်နယ်,Mansi Township,မံစီ မြို့နယ်,Pyin Oo Lwin Quarter,ပြင်ဦးလွင် ရပ်ကွက်,ward,6584,6615,linked_local_area,exact_local_under_township,Unique local admin under matched township
0114004,Kachin State,ကချင်ပြည်နယ်,Mansi Township,မံစီ မြို့နယ်,Kawng Yar Quarter,ကောင်ရာ ရပ်ကွက်,ward,6584,6614,linked_local_area,exact_local_under_township,Unique local admin under matched township
0115001,Kachin State,ကချင်ပြည်နယ်,Momauk Township,မိုးမောက် မြို့နယ်,Khar Nan Quarter,ခါနန် ရပ်ကွက်,ward,6593,6609,linked_local_area,exact_local_under_township,Unique local admin under matched township
