source_key,entity_type,source_name_mm,source_name_en,source_parent,source_geometry_preview_path,candidate_core_ids,candidate_names,candidate_parents,candidate_types,name_evidence,overlap_percent,distance_m,dependency_counts,recommended_action,review_decision,selected_core_id,review_note
ward:MMR013018701526:row1133:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အမှတ် (၁၀၆) ရပ်ကွက်,No (106) Ward,Yangon > Yangon (East) > Dagon Myothit (South) > Dagon Myothit (South) Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR013018701526_row1133_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5182;5183,အမှတ် (၁၀၆) ရပ်ကွက် | အမှတ် (၁၀၆) ရပ်ကွက်,ဒဂုံမြို့သစ် (တောင်ပိုင်း) | ဒဂုံမြို့သစ် (တောင်ပိုင်း),ward | ward,exact_my+en,100.0;100.0,0.0;0.0,5182:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=16|area_m2=786151|verification=unverified} || 5183:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=16|area_m2=786151|verification=unverified},merge_duplicate_candidate,,5182,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=5182 by verification/official/deps/geometry (deps=2, npoints=16)"
ward:MMR013018701525:row1134:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အမှတ် (၁၀၅) ရပ်ကွက်,No (105) Ward,Yangon > Yangon (East) > Dagon Myothit (South) > Dagon Myothit (South) Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR013018701525_row1134_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5185;5186,အမှတ် (၁၀၅) ရပ်ကွက် | အမှတ် (၁၀၅) ရပ်ကွက်,ဒဂုံမြို့သစ် (တောင်ပိုင်း) | ဒဂုံမြို့သစ် (တောင်ပိုင်း),ward | ward,exact_my+en,100.0;100.0,0.0;0.0,5185:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=18|area_m2=885979|verification=unverified} || 5186:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=18|area_m2=885979|verification=unverified},merge_duplicate_candidate,,5185,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=5185 by verification/official/deps/geometry (deps=2, npoints=18)"
ward:MMR013021701532:row1213:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အမှတ် (၁၄၉) ရပ်ကွက်,No (149) Ward,Yangon > Yangon (East) > Dagon Myothit (Seikkan) > Dagon Myothit (Seikkan),reports/admin-reconciliation-v2/phase3-previews/ward_MMR013021701532_row1213_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5187,အမှတ် (၁၄၈) ရပ်ကွက်,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း),ward,no_exact_name,0.0,2277.9,5187:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=19|area_m2=640827|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR013021701534:row1227:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အမှတ် (၁၅၁) ရပ်ကွက်,No (151) Ward,Yangon > Yangon (East) > Dagon Myothit (Seikkan) > Dagon Myothit (Seikkan),reports/admin-reconciliation-v2/phase3-previews/ward_MMR013021701534_row1227_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5187,အမှတ် (၁၄၈) ရပ်ကွက်,ဒဂုံမြို့သစ် (ဆိပ်ကမ်း),ward,no_exact_name,0.0,2210.3,5187:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=19|area_m2=640827|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR007008701505:row1421:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,ဂန့်ဂေါ်ဝိုင်းရပ်ကွက်,Gant Gaw Waing Ward,Bago (East) > Bago > Shwegyin > Shwegyin Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR007008701505_row1421_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5891;5897,ဂန့်ဂေါ်ဝိုင်းရပ်ကွက် | ဂန့်ဂေါ်ဝိုင်းရပ်ကွက်,ရွှေကျင် | ရွှေကျင်,ward | ward,exact_my+en,100.0;100.0,0.0;0.0,5891:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=54|area_m2=305160|verification=unverified} || 5897:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=54|area_m2=305160|verification=unverified},merge_duplicate_candidate,,5891,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=5891 by verification/official/deps/geometry (deps=2, npoints=54)"
ward:MMR010018701504:row1546:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,ဈေးရပ်ကွက်,Zay Ward,Mandalay > Myingyan > Taungtha > Taungtha Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR010018701504_row1546_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,6907;6908,ဈေးရပ်ကွက် | ဈေးရပ်ကွက်,တောင်သာ | တောင်သာ,ward | ward,exact_my+en,100.0;100.0,0.0;0.0,6907:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=85|area_m2=308587|verification=unverified} || 6908:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=85|area_m2=308587|verification=unverified},merge_duplicate_candidate,,6907,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=6907 by verification/official/deps/geometry (deps=2, npoints=85)"
ward:MMR018002701510:row1565:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,ဓနသိဒ္ဓိရပ်ကွက်,Dha Na Theik Di Ward,Nay Pyi Taw > Det Khi Na > Za Bu Thi Ri > Za Bu Thi Ri Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR018002701510_row1565_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,6011;6024,ဓနသိဒ္ဓိရပ်ကွက် | ဓနသိဒ္ဓိရပ်ကွက်,ဇမ္ဗူသီရိ | ဇမ္ဗူသီရိ,ward | ward,exact_my+en,1.0;100.0,1201.9;46.0,6011:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=22|area_m2=7375523|verification=unverified} || 6024:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=71|area_m2=3093206|verification=unverified},merge_duplicate_candidate,,6024,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=6024 by verification/official/deps/geometry (deps=2, npoints=71)"
ward:MMR018002701508:row1572:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,ဉာဏသိဒ္ဓိရပ်ကွက်,Nyar Na Theik Di Ward,Nay Pyi Taw > Det Khi Na > Za Bu Thi Ri > Za Bu Thi Ri Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR018002701508_row1572_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,6012;6022,ဉာဏသိဒ္ဓိရပ်ကွက် | ဉာဏသိဒ္ဓိရပ်ကွက်,ဇမ္ဗူသီရိ | ဇမ္ဗူသီရိ,ward | ward,exact_my+en,64.3;100.0,1535.3;0.0,6012:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=40|area_m2=5082863|verification=unverified} || 6022:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=150|area_m2=8000480|verification=unverified},merge_duplicate_candidate,,6022,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=6022 by verification/official/deps/geometry (deps=2, npoints=150)"
ward:MMR018002701509:row1574:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,ဗလသိဒ္ဓိရပ်ကွက်,Ba La Theik Di Ward,Nay Pyi Taw > Det Khi Na > Za Bu Thi Ri > Za Bu Thi Ri Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR018002701509_row1574_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,6023;6025,ဗလသိဒ္ဓိရပ်ကွက် | ဗလသိဒ္ဓိရပ်ကွက်,ဇမ္ဗူသီရိ | ဇမ္ဗူသီရိ,ward | ward,exact_my+en,100.0;35.8,0.0;666.4,6023:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=135|area_m2=1597997|verification=unverified} || 6025:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=30|area_m2=5021068|verification=unverified},merge_duplicate_candidate,,6023,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=6023 by verification/official/deps/geometry (deps=2, npoints=135)"
ward:MMR018002701507:row1575:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,သုခသိဒ္ဓိရပ်ကွက်,Thu Kha Theik Di Ward,Nay Pyi Taw > Det Khi Na > Za Bu Thi Ri > Za Bu Thi Ri Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR018002701507_row1575_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5117;6054,သုခသိဒ္ဓိရပ်ကွက် | သုခသိဒ္ဓိရပ်ကွက်,ဇမ္ဗူသီရိ | ဇမ္ဗူသီရိ,ward | ward,exact_my+en,1.1;100.0,1614.2;0.9,5117:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=26|area_m2=7004743|verification=unverified} || 6054:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=100|area_m2=1532360|verification=unverified},merge_duplicate_candidate,,6054,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=6054 by verification/official/deps/geometry (deps=2, npoints=100)"
