source_key,entity_type,source_name_mm,source_name_en,source_parent,source_geometry_preview_path,candidate_core_ids,candidate_names,candidate_parents,candidate_types,name_evidence,overlap_percent,distance_m,dependency_counts,recommended_action,review_decision,selected_core_id,review_note
village:163636:row10756:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,ကြပ်ကြီး,Kyat Gyi,Ayeyarwady > Hinthada > Zalun > Yin Ma Lut,reports/admin-reconciliation-v2/phase3-previews/village_163636_row10756_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,129280;129392,ကျပ်ကြီး [Kyat Gyi / ကျပ်ကြီး] | ကြပ်ကြီး [Kyat Gyi / ကြပ်ကြီး],ဇလွန် | ဇလွန်,village | village,"exact_normalized_en,exact_normalized_my",,637.4;102.9,129280:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 129392:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,129280,Multiple CoreMap settlements share exact normalized name under township | prefer id=129280 by verification/point/names (preserve survivor point)
village:163659:row10768:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,ညောင်အိုင်ကြီး,Nyaung Aing Gyi,Ayeyarwady > Hinthada > Zalun > Yin Taik Kone,reports/admin-reconciliation-v2/phase3-previews/village_163659_row10768_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,129366;129461,ညောင်အိုင်ကြီး [Nyaung Aing Gyi / ညောင်အိုင်ကြီး] | ညောင်အိုင်ကြီး [Nyaung Aing Gyi / ညောင်အိုင်ကြီး],ဇလွန် | ဇလွန်,village | village,exact_normalized_my,,313.4;62.3,129366:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 129461:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,129366,Multiple CoreMap settlements share exact normalized name under township | prefer id=129366 by verification/point/names (preserve survivor point)
village:178371:row72:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ကျောင်းစု,Kyaung Su,Bago (East) > Bago > Bago > Kan Ni,reports/admin-reconciliation-v2/phase3-previews/village_178371_row72_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,137726;162203,ကျောင်းစု [Kyaung Su / ကျောင်းစု] | ကျောင်းစု [Kyaung Su / ကျောင်းစု],ပဲခူး | ပဲခူး,village | village,exact_normalized_my,,0.0;0.0,137726:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 162203:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,137726,Multiple CoreMap settlements share exact normalized name under township | prefer id=137726 by verification/point/names (preserve survivor point)
village:178306:row124:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,သုံးအိမ်စု,Thone Ein Su,Bago (East) > Bago > Bago > Pyin Pon Gyi,reports/admin-reconciliation-v2/phase3-previews/village_178306_row124_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,137747;173046,သုံးအိမ်စု [Thone Ein Su / သုံးအိမ်စု] | သုံးအိမ်စု [THONE EAIN SU / သုံးအိမ်စု],ပဲခူး | ပဲခူး,village | village,exact_normalized_my,,0.0;832.1,137747:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 173046:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,137747,Multiple CoreMap settlements share exact normalized name under township | prefer id=137747 by verification/point/names (preserve survivor point)
village:179444:row216:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,တာဆုံ,Tar Son,Bago (East) > Bago > Daik-U > Hpa Yar Gyi Kwin,reports/admin-reconciliation-v2/phase3-previews/village_179444_row216_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,137667;137848,တာဆုံ [Tar Son / တာဆုံ] | တာဆုံ [Tar Son / တာဆုံ],ဒိုက်ဦး | ဒိုက်ဦး,village | village,exact_normalized_my,,99.0;0.0,137667:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 137848:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,137667,Multiple CoreMap settlements share exact normalized name under township | prefer id=137667 by verification/point/names (preserve survivor point)
village:181009:row425:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,အုန်းပင်,Ohn Pin,Bago (East) > Taungoo > Htantabin > Ohn Pin,reports/admin-reconciliation-v2/phase3-previews/village_181009_row425_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,162430;170108,အုန်းပင် [Ohn Pin / အုန်းပင်] | အုန်းပင်ကျေးရွာ [Ohn Pin / အုန်းပင်ကျေးရွာ],ထန်းတပင် | ထန်းတပင်,village | village,"exact_normalized_en,exact_normalized_my",,0.0;240.4,162430:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 170108:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,162430,Multiple CoreMap settlements share exact normalized name under township | prefer id=162430 by verification/point/names (preserve survivor point)
village:178719:row481:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ဘလောက်,Ba Lauk,Bago (East) > Bago > Kawa > Ba Lauk,reports/admin-reconciliation-v2/phase3-previews/village_178719_row481_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,162366,တောင်စု [Taung Su / တောင်စု],ကဝ,village,no_exact_name,,910.0,162366:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:178657:row534:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,ကျွဲတဲရိုး,Kywe Te Yoe,Bago (East) > Bago > Kawa > Met Ka Bin,reports/admin-reconciliation-v2/phase3-previews/village_178657_row534_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,162332;162333,ကျွဲတဲရိုး [Kywe Te Yoe / ကျွဲတဲရိုး] | ကျွဲတဲရိုး [Kywe Te Yoe / ကျွဲတဲရိုး],ကဝ | ကဝ,village | village,exact_normalized_my,,445.0;0.0,162332:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 162333:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,162332,Multiple CoreMap settlements share exact normalized name under township | prefer id=162332 by verification/point/names (preserve survivor point)
village:178604:row545:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,သောင်ကြီး,Thaung Gyi,Bago (East) > Bago > Kawa > Na Be Pin,reports/admin-reconciliation-v2/phase3-previews/village_178604_row545_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,137935;162249,သောင်ကြီး [Thaung Gyi / သောင်ကြီး] | သောင်ကြီး [Thaung Gyi / သောင်ကြီး],ကဝ | ကဝ,village | village,exact_normalized_my,,0.0;757.4,137935:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 162249:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,137935,Multiple CoreMap settlements share exact normalized name under township | prefer id=137935 by verification/point/names (preserve survivor point)
village:178648:row548:village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp,village,နိဗ္ဗာန်,Neik Ban,Bago (East) > Bago > Kawa > Neik Ban,reports/admin-reconciliation-v2/phase3-previews/village_178648_row548_village_point_Bago_v96.zip_mmr_bgo_pplp2_250k_mimu.shp.geojson,162253,ဝက်ကုန်း [Wet Kone / ဝက်ကုန်း],ကဝ,village,no_exact_name,,1340.1,162253:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
