postal_code,action,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,inferred_locality_type,matched_township_coremap_id,matched_local_coremap_id,match_method,confidence,source_row_count_en,source_row_count_my,duplicate_extra_source_rows,review_reason
0101024,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Myo Thit Gyi Quarter,မြို့သစ်ကြီး ရပ်ကွက်,ward,6610,6642,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101025,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Lel Kone Quarter,လယ်ကုန်း ရပ်ကွက်,ward,6610,6633,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101026,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shwe Aik Quarter,ရွှေအိုက် ရပ်ကွက်,ward,6610,6645,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101027,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shwe Pyi Thar Quarter,ရွှေပြည်သာ ရပ်ကွက်,ward,6610,6643,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101028,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pan Ma Ti Quarter,ပမ္မတီး ရပ်ကွက်,ward,6610,6644,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101200,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Alam Village Tract,အာလမ် ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101201,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nawng Nang Village Tract,နောင်နန်း ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101202,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pa La Na Sa Khan Myar Village Tract,ပလနစခန်းများ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101203,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nam Kyin Village Tract,နန့်ကျင် ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0101204,link_township,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nam Kwayt Village Tract,နန်းကွေ့ ကျေးရွာအုပ်စု,village_tract,6610,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
