coremap_id,hierarchy_level,admin_area_type,canonical_name,coremap_path,parent_id,classification,action,preserve_existing_geom,review_reason,point_x,point_y,geom_md5
5985,township,township,อำเภอเวียงแหง,country:11:မြန်မာ > state_region:6378:ဝပြည်နယ် တောင်ပိုင်း > district:6384:မိုင်းတုံခရိုင် > township:5985:อำเภอเวียงแหง,6384,foreign,disable_foreign,True,Confirmed foreign polygon outside Myanmar country geometry,98.6389739981198,19.59057745,abed0304c579f67256e97a5672da965b
5986,township,township,อำเภอปางมะผ้า,country:11:မြန်မာ > state_region:6378:ဝပြည်နယ် တောင်ပိုင်း > district:6384:မိုင်းတုံခရိုင် > township:5986:อำเภอปางมะผ้า,6384,foreign,disable_foreign,True,Confirmed foreign polygon outside Myanmar country geometry,98.2240780054758,19.591551,c2c293038da26e95d4a0d74310f9b5f2
6006,township,township,ဘော်လခဲမြို့နယ်,country:11:မြန်မာ > state_region:6007:ကယားပြည်နယ် > district:5974:ဘော်လခဲခရိုင် > township:6006:ဘော်လခဲမြို့နယ်,5974,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,97.5215965602392,19.0901063649668,5d42f4274785e05fe5fa2a31f4715bdb
6073,township,township,ပင်လောင်းမြို့နယ်,country:11:မြန်မာ > state_region:6031:နေပြည်တော် ပြည်ထောင်စုနယ်မြေ > district:6042:ဇေယျာသီရိခရိုင် > township:6073:ပင်လောင်းမြို့နယ်,6042,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.6736600265614,20.137476,8316f78e018eb199d946d61a5e78e7b5
6091,township,township,ဆီဆိုင်မြို့နယ်,country:11:မြန်မာ > state_region:6007:ကယားပြည်နယ် > district:5999:လွိုင်ကော်‌ခရိုင် > township:6091:ဆီဆိုင်မြို့နယ်,5999,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,97.3063255218525,20.24277865,72639e6e337c19bdb729124ee776e4c0
6187,township,township,ရွာငံမြို့နယ်,country:11:မြန်မာ > state_region:6832:မန္တလေးတိုင်း > district:6197:ကျောက်ဆည်ခရိုင် > township:6187:ရွာငံမြို့နယ်,6197,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.5009363659952,21.2837617,055828a1385e306c574f67fc5d103320
6288,township,township,မိုင်းဖျန်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6335:မိုင်းပေါက်ခရိုင် > township:6288:မိုင်းဖျန်မြို့နယ်,6335,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.6458547257921,21.9656796,e2cc0e101548d3d53c71366b5a862ca8
6328,township,township,မက်မန်းမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6474:မက်မန်းခရိုင် > township:6328:မက်မန်းမြို့နယ်,6474,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.7942998392497,21.870731,e4e90c3edd2bf77ddbdb9f1ae5855d9e
6334,township,township,နမ့်ဖိုင်မြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6335:မိုင်းပေါက်ခရိုင် > township:6334:နမ့်ဖိုင်မြို့နယ်,6335,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.1136222394679,21.99252585,838ce796c4eb94f62d853f8e89e89a27
6336,township,township,မိုင်းကာမြို့နယ်,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း > district:6335:မိုင်းပေါက်ခရိုင် > township:6336:မိုင်းကာမြို့နယ်,6335,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,99.4700553953228,21.87843675,805671e1c7aa73ebb3c45fbde049768c
