duplicate_kind,source_key,source_level,source_name_en,source_name_my,parent_path,coremap_ids,review_reason
repeated_create_same_normalized_path,_06-VillageTract:2460;_06-VillageTract:2461,ward_village_tract,Du Yin Pin,ဒူးရင်းပင်,state_region:MMR111:Bago > district:MMR007D001:Bago > township:MMR007008:Shwegyin > ward_village_tract:MMR007008049:Du Yin Pin,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:501;_05_Ward:496,ward_village_tract,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,state_region:MMR111:Bago > district:MMR007D002:Taungoo > township:MMR007010:Yedashe > ward_village_tract:MMR007010703501:No (1) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:502;_05_Ward:497,ward_village_tract,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,state_region:MMR111:Bago > district:MMR007D002:Taungoo > township:MMR007010:Yedashe > ward_village_tract:MMR007010703502:No (2) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:503;_05_Ward:498,ward_village_tract,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,state_region:MMR111:Bago > district:MMR007D002:Taungoo > township:MMR007010:Yedashe > ward_village_tract:MMR007010703503:No (3) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:504;_05_Ward:499,ward_village_tract,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,state_region:MMR111:Bago > district:MMR007D002:Taungoo > township:MMR007010:Yedashe > ward_village_tract:MMR007010703504:No (4) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:2432;_05_Ward:438,ward_village_tract,Oke Hpyat,အုတ်ဖြတ်,state_region:MMR111:Bago > district:MMR007D002:Taungoo > township:MMR007012:Phyu > ward_village_tract:MMR007012011:Oke Hpyat,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:3153;_06-VillageTract:3154,ward_village_tract,Kyoet Kone,ကြို့ကုန်း,state_region:MMR111:Bago > district:MMR008D001:Pyay > township:MMR008004:Paungde > ward_village_tract:MMR008004025:Kyoet Kone,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:557;_05_Ward:550,ward_village_tract,Myo Ma Ward,မြို့မရပ်ကွက်,state_region:MMR111:Bago > district:MMR008D002:Thayarwady > township:MMR008010:Okpho > ward_village_tract:MMR008010701501:Myo Ma Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:5054;_06-VillageTract:5055,ward_village_tract,Ma Gyi Kan,မကျီးကန်,state_region:MMR009:Magway > district:MMR009D001:Magway > township:MMR009003:Chauk > ward_village_tract:MMR009003003:Ma Gyi Kan,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1038;_05_Ward:1053,ward_village_tract,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D001:Magway > township:MMR009003:Chauk > ward_village_tract:MMR009003701501:No (1) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1045;_05_Ward:1054,ward_village_tract,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D001:Magway > township:MMR009003:Chauk > ward_village_tract:MMR009003701502:No (2) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1046;_05_Ward:1055,ward_village_tract,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D001:Magway > township:MMR009003:Chauk > ward_village_tract:MMR009003701503:No (3) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1047;_05_Ward:1056,ward_village_tract,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D001:Magway > township:MMR009003:Chauk > ward_village_tract:MMR009003701504:No (4) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:1048;_05_Ward:1057,ward_village_tract,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,state_region:MMR009:Magway > district:MMR009D001:Magway > township:MMR009003:Chauk > ward_village_tract:MMR009003701505:No (5) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
