source_ts_pcode,source_ts_name,source_st_pcode,source_st_name,source_dt_pcode,source_dt_name,boundary_count,village_count,status,core_township_id,core_public_id,core_canonical_name,match_method,candidate_coremap_ids,evidence,review_reason
MMR016001,Kengtung,MMR016,Shan (East),MMR016D001,Kengtung,37,711,mapped,6360,b86495bc-981a-45df-9407-bc9ed3e43ee2,ကျိုင်းတုံ,name,6360,exact_normalized_en=[6360]|spatial_support=6360:0.90;6370:0.10;7526:0.01,
MMR016002,Mongkhet,MMR016,Shan (East),MMR016D001,Kengtung,18,148,mapped,6331,946c6529-d6ec-414d-ba51-0a494d775522,မိုင်းခတ်,name,6331,exact_normalized_en=[6331]|spatial_support=6331:1.00;6336:0.14;6334:0.01;6466:0.01;6460:0.01,
MMR016003,Mongyang,MMR016,Shan (East),MMR016D001,Kengtung,28,70,mapped,6338,13bee3ab-42f0-4345-aaa6-d99507d72c18,မိုင်းယန်း,name,6338,exact_normalized_en=[6338]|spatial_support=6338:0.52;6288:0.35;6336:0.22;6460:0.21;6466:0.21,
MMR016005,Mongla,MMR016,Shan (East),MMR016D001,Kengtung,6,37,mapped,7526,d675f613-6c3b-4bbb-be7c-aba321288cff,မိုင်းလား,name,7526,exact_normalized_en=[7526]|spatial_support=7526:0.45;6331:0.35;6360:0.28;6338:0.01,
MMR016006,Monghsat,MMR016,Shan (East),MMR016D002,Monghsat,28,229,mapped,6372,b2acc5fe-245e-4b57-84c7-dd2bf75e8ed0,မိုင်းဆတ်,name+spatial_tiebreak,6372,"exact_normalized_en=[6331, 6372]|spatial_support=6372:0.98;6390:0.02;6312:0.01",
MMR016007,Mongping,MMR016,Shan (East),MMR016D001,Kengtung,29,411,mapped,6312,d69d7025-578c-4ad0-8a62-6525f6ba1e02,မိုင်းပျဉ်း,name,6312,exact_normalized_en=[6312]|spatial_support=6312:1.00;6331:0.01,
MMR016008,Mongton,MMR016,Shan (East),MMR016D002,Monghsat,19,58,mapped,6385,964681b2-6ee8-4d4e-b510-c0b49d7ee897,မိုင်းတုံ,name,6385,exact_normalized_en=[6385]|spatial_support=6385:1.00,
MMR016009,Tachileik,MMR016,Shan (East),MMR016D003,Tachileik,16,174,mapped,6390,4ba61133-b252-41ee-a2bf-d89e724bcfbf,တာချီလိတ်,name,6390,exact_normalized_en=[6390]|spatial_support=6390:1.00,
MMR016010,Monghpyak,MMR016,Shan (East),MMR016D003,Tachileik,22,82,mapped,6370,5a05af55-94a0-4164-b72b-4e1a0d76fee5,မိုင်းဖြတ်,name,6370,exact_normalized_en=[6370]|spatial_support=6370:0.92;6390:0.19,
MMR016011,Mongyawng,MMR016,Shan (East),MMR016D003,Tachileik,31,108,mapped,6408,1bfed069-7ca1-4164-8d01-ab9f986f2b63,မိုင်းယောင်း,name,6408,exact_normalized_en=[6408]|spatial_support=6408:1.00,
MMR016319,Mong Hpen,MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),0,60,manual_review,,,,spatial_only_blocked,6288;6460;6336;6338;6466,spatial_support=6288:1.00;6460:0.25;6336:0.18;6338:0.15;6466:0.03|spatial_only_candidate=6288,Spatial-only township candidate; name match missing — do not auto-approve
MMR016320,Ho Tawng (Ho Tao),MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),0,43,manual_review,,,,spatial_only_blocked,6460;6288;6466;6336;6338,spatial_support=6460:0.93;6288:0.31;6466:0.24;6336:0.22;6338:0.04|spatial_only_candidate=6460,Spatial-only township candidate; name match missing — do not auto-approve
MMR016321,Mong Pawk,MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),0,104,manual_review,,,,spatial_only_blocked,6466;6336;6460;6334;6469,spatial_support=6466:1.00;6336:0.18;6460:0.17;6334:0.15;6469:0.03|spatial_only_candidate=6466,Spatial-only township candidate; name match missing — do not auto-approve
MMR016322,Mong Kar,MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),0,17,mapped,6336,ebd925fe-ed2d-4f4f-b6b0-9bd9bfeb929d,မိုင်းကာမြို့နယ်,name,6336,exact_normalized_en=[6336]|spatial_support=6336:0.82;6460:0.29;6331:0.25;6466:0.21;6288:0.16,
MMR016323,Nam Hpai,MMR016,Shan (East),MMR016D333,Mong Pawk (Wa SAD),0,46,manual_review,,,,spatial_only_blocked,6334;6331;6466;6336;6469,spatial_support=6334:0.79;6331:0.21;6466:0.21;6336:0.05;6469:0.04|spatial_only_candidate=6334,Spatial-only township candidate; name match missing — do not auto-approve
MMR017001,Pathein,MMR017,Ayeyarwady,MMR017D001,Pathein,73,237,mapped,7362,e659ac44-0298-4bfe-a48b-560403168733,ပုသိမ်,name,7362,exact_normalized_en=[7362]|spatial_support=7362:0.98;7344:0.15;7186:0.02,
