coremap_id,public_id,canonical_name,settlement_type,township_id,name_en,name_mm,lon,lat,reason
159202,2cf862f7-de9b-43c3-8753-46a1ea1266d3,ဝမ်နားလုံ,village,7526,,ဝမ်နားလုံ,99.95158530,21.65073680,No MIMU village source matched this CoreMap settlement under an approved township
159203,9d2dbc2a-a500-4562-9ea9-278e63529c55,五福,village,6385,Wufu,,98.89194570,20.06035080,No MIMU village source matched this CoreMap settlement under an approved township
159204,5aa0ca5c-e368-42d2-b030-a809365e55a9,ကျောင်းတော,village,6385,Kyawng Taw,ကျောင်းတော,98.92816230,20.03009840,No MIMU village source matched this CoreMap settlement under an approved township
159205,14d0e341-b2b4-4539-9db5-4347dfcd7489,ရှင်တေရှဲင်,village,6372,Shin Taw Sheng,ရှင်တေရှဲင်,99.30018640,20.43620610,No MIMU village source matched this CoreMap settlement under an approved township
159206,b443a68d-f35e-489a-bdf8-221143cd9e4e,၁၄/၁ ရပ်ကွက်,local_area,5267,14/1 Ward,၁၄/၁ ရပ်ကွက်,96.19703090,16.85011760,No MIMU village source matched this CoreMap settlement under an approved township
159207,e8d65b0e-6bc4-499f-89d5-47d995547981,营盘,village,6599,,,97.63544100,23.65819940,No MIMU village source matched this CoreMap settlement under an approved township
159213,ee61c433-5b86-4988-815d-ddf232196661,李家庄,village,6468,,,97.67370750,22.98404090,No MIMU village source matched this CoreMap settlement under an approved township
159214,dcc2c2b5-0371-4d23-8253-24cad29ba638,Kananar Lat Pan Su,village,7215,Kananar Lat Pan Su,,95.24698550,17.75676390,No MIMU village source matched this CoreMap settlement under an approved township
159215,3d714124-34e5-46cf-8a2d-7c6668cc0f4a,岩子头,village,6441,,,98.76403840,23.49107270,No MIMU village source matched this CoreMap settlement under an approved township
159216,98325a6c-a0a1-4db8-ab4e-1e415c25be52,Agro*U Kyawthuwin Pro*သာရဝေါ,village,7233,Agro*U Kyawthuwin Pro*သာရဝေါ,Agro*U Kyawthuwin Pro*သာရဝေါ,95.63616200,17.35726910,No MIMU village source matched this CoreMap settlement under an approved township
159217,55e431c1-6346-426e-899a-e81c571540d8,ဝၢၼ်ႈၼမ်ႉမေႃႇငိုၼ်း,village,6468,Nam Mor Ngyin,ဝၢၼ်ႈၼမ်ႉမေႃႇငိုၼ်း,97.62814620,22.66453390,No MIMU village source matched this CoreMap settlement under an approved township
159218,c6c077e6-17ff-4e9c-b4d9-aa027c6dfba1,邦帕,village,6562,,,97.78712280,23.06733950,No MIMU village source matched this CoreMap settlement under an approved township
159219,0a69d28c-b49e-4507-893d-0abfa4ffeaa0,南版寨,village,6468,,,97.75103490,22.90593590,No MIMU village source matched this CoreMap settlement under an approved township
159226,dee93414-2902-4403-b12d-90e012423748,Choro Khunou,village,6726,Choro Khunou,,94.47896300,24.56929950,No MIMU village source matched this CoreMap settlement under an approved township
159229,be7ce2fb-caaa-4e94-b731-39189eeadb2c,卡南,village,6408,,,100.88019860,21.39309290,No MIMU village source matched this CoreMap settlement under an approved township
159230,99136d2a-ebd8-4424-8c79-fbe5855df4d3,T. Nampao,village,6726,T. Nampao,,94.20627180,23.99229460,No MIMU village source matched this CoreMap settlement under an approved township
159233,7e49dfc0-e944-44d5-a70c-9e51a8b62e88,Wan Peing,village,6372,Wan Peing,,99.61226850,20.33247480,No MIMU village source matched this CoreMap settlement under an approved township
159239,88e15470-f089-4d82-838a-5ca4ab1dcd23,Tiger Camp,village,6560,Tiger Camp,,97.31712320,23.10902710,No MIMU village source matched this CoreMap settlement under an approved township
159242,bcd61980-e807-4022-bdea-bd4ba0cf7850,Kab Hla Ywa village,village,6076,Kab Hla Ywa village,,96.90169470,20.66363330,No MIMU village source matched this CoreMap settlement under an approved township
159246,97ca4742-44e5-4089-82bc-71a6cc49c335,Nantaing,village,6160,Nantaing,,96.64711400,20.49712760,No MIMU village source matched this CoreMap settlement under an approved township
159249,b9a29792-3801-4cbe-b4cf-59d8ee196428,Myinkaba,local_area,6905,Myinkaba,,94.86145270,21.15272160,No MIMU village source matched this CoreMap settlement under an approved township
159250,2c8284a9-c0f5-466a-b2a4-d846a3cb01fa,Thiripyitsaya,local_area,6905,Thiripyitsaya,,94.85352350,21.13058480,No MIMU village source matched this CoreMap settlement under an approved township
159252,5adf460f-9fc1-48e0-b4bb-363c4a97cf62,Wetkyi-In,local_area,6905,Wetkyi-In,,94.88607880,21.18737390,No MIMU village source matched this CoreMap settlement under an approved township
159259,bc358618-9fae-47a3-8c51-8c7a799687fe,Namphalong,village,6726,Namphalong,,94.31055480,24.24326800,No MIMU village source matched this CoreMap settlement under an approved township
159261,722a4294-c99d-4e13-8c67-0ce227e2cabf,ကုလားဝ,village,6941,Kaletwa,ကုလားဝ,92.77931570,21.72663340,No MIMU village source matched this CoreMap settlement under an approved township
159272,1ee87e20-9ab9-44b6-93e5-477402412cc2,ပါလီပါလဲ့ကျွန်းစောင့်တပ်,village,7440,,ပါလီပါလဲ့ကျွန်းစောင့်တပ်,93.62190930,14.87062500,No MIMU village source matched this CoreMap settlement under an approved township
159273,20985f8f-abe2-4d79-ae7a-d8180abaabd4,မော်တောင်း,village,6600,Maw Tawng,မော်တောင်း,97.99199920,23.91489500,No MIMU village source matched this CoreMap settlement under an approved township
159276,82680c34-eb01-45f3-a836-a86aeff38789,ဝၢၼ်ႈႁႆး,village,6322,Wan Panghang,ဝၢၼ်ႈႁႆး,98.16005550,21.88971590,No MIMU village source matched this CoreMap settlement under an approved township
159277,03450849-68d5-47f8-bb2c-6ed608f1384e,ဝၢၼ်ႈသေႃႉ,village,6327,,ဝၢၼ်ႈသေႃႉ,98.22151990,21.84441550,No MIMU village source matched this CoreMap settlement under an approved township
159289,e170c0fc-a1ab-41e8-b14e-a5792a322a4d,บ้านนอร์แล,village,6385,Ban Nor Lae,,99.04143150,19.93728300,No MIMU village source matched this CoreMap settlement under an approved township
159297,725eabae-d0ae-4b7d-bf8e-7885eef802e1,မရှုဖကာ,village,6569,Ma Shu Hpa Kar,မရှုဖကာ,98.03010980,23.56505370,No MIMU village source matched this CoreMap settlement under an approved township
159300,33629880-1d8f-4d7f-b97e-aff360bcd568,ပန်လုံ,village,6560,Pang Long,ပန်လုံ,97.37477690,22.81205530,No MIMU village source matched this CoreMap settlement under an approved township
159301,ba8fcf2c-1a92-4c29-8dc5-550c59033b00,Hswe-o,village,6560,Hswe-o,,97.32903270,22.81866480,No MIMU village source matched this CoreMap settlement under an approved township
159302,f1739e90-c196-46dc-a534-04de7710b9be,Нонгнгун,village,6560,,,97.41351590,22.86232530,No MIMU village source matched this CoreMap settlement under an approved township
159304,42f52a03-ed7e-48c7-83cd-899f6cd03be0,ပတ္တူပေါက်,village,6160,Pat Tu Pauk,ပတ္တူပေါက်,96.72193150,20.53207850,No MIMU village source matched this CoreMap settlement under an approved township
159310,f036f8c1-d9de-4d6d-b842-e6af85e019d4,Lonhaw,village,6623,Lonhaw,,98.09121550,25.41891030,No MIMU village source matched this CoreMap settlement under an approved township
159311,aad822e6-8a8b-4698-9347-6649f5b227ac,Kunkan,village,6623,Kunkan,,98.02891960,25.35748970,No MIMU village source matched this CoreMap settlement under an approved township
159317,c8f9cfb8-99f9-4bb5-b24c-33beb056edc9,Paungaing,village,7123,Paungaing,,95.71803660,19.27282140,No MIMU village source matched this CoreMap settlement under an approved township
159356,07c21102-d653-4392-9dce-2ff5fc57d8ab,Kyauk-o,village,7123,Kyauk-o,,95.56105500,19.44619230,No MIMU village source matched this CoreMap settlement under an approved township
159357,82012fa4-2fb1-484d-afb1-6f3759938bc6,Legaing,village,7081,Legaing,,95.54137000,19.47407600,No MIMU village source matched this CoreMap settlement under an approved township
159370,52166331-8536-4e75-981f-9ef7c879533e,Thanbula,village,7123,Thanbula,,95.51638560,19.33459120,No MIMU village source matched this CoreMap settlement under an approved township
159381,704a8855-5e98-4695-a18b-b84bac6ccdbb,Kwedaik,village,7123,Kwedaik,,95.47120250,19.39292910,No MIMU village source matched this CoreMap settlement under an approved township
159387,36042d90-c0c7-4bf6-9c03-91a6719a5b1e,Ngahlauk,village,7123,Ngahlauk,,95.68285830,19.35049350,No MIMU village source matched this CoreMap settlement under an approved township
159390,836d895d-b735-4b2d-aa43-db53d5543d56,Paukseindu,village,7123,Paukseindu,,95.47118320,19.47093810,No MIMU village source matched this CoreMap settlement under an approved township
159392,8d1b9cff-d697-4f3c-8ce5-20121a459e60,Pyingon,village,7123,Pyingon,,95.72108220,19.45343440,No MIMU village source matched this CoreMap settlement under an approved township
159397,73d84823-a382-4070-9bad-22afc9cad130,Wungon,village,7081,Wungon,,95.51665070,19.49172540,No MIMU village source matched this CoreMap settlement under an approved township
159404,98136395-764b-4738-8dec-b723b88dfe61,Pyaunghte,village,7123,Pyaunghte,,95.67219440,19.24914300,No MIMU village source matched this CoreMap settlement under an approved township
159408,76bdef09-de01-4a19-ab43-9aa45b9103c3,Tubauk,village,7123,Tubauk,,95.64342350,19.21663380,No MIMU village source matched this CoreMap settlement under an approved township
159412,f29052d3-1ae9-4278-9c39-fe896989a746,Kyaukpyokkon,village,7123,Kyaukpyokkon,,95.56813060,19.21810310,No MIMU village source matched this CoreMap settlement under an approved township
159433,632f1214-5710-48a5-bd4e-57fe08d586d4,Memyaung,village,7123,Memyaung,,95.36788450,19.11923220,No MIMU village source matched this CoreMap settlement under an approved township
159441,c415a7db-caff-4834-afcd-94ec6d4ec9a0,စမ်းမကြီး,village,7123,San Ma Gyi,စမ်းမကြီး,95.52351350,19.17880310,No MIMU village source matched this CoreMap settlement under an approved township
159467,ec17275e-f2bf-48a4-8465-acaf2f78747f,Nyaungbingyin,village,7123,Nyaungbingyin,,95.72216920,19.20071490,No MIMU village source matched this CoreMap settlement under an approved township
