postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_public_id,matched_township_id,matched_local_admin_public_id,matched_local_admin_area_id,name_evidence,match_method,reason,v2_status,manifest_version,production_apply,preserve_existing_geom
0101016,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ယုဇန ရပ်ကွက်,Yu Za Na Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,6f0361ac-5cfb-46f9-94bf-1cd3d72cce1d,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101017,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြေမြင့် ရပ်ကွက်,Myay Myint Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,c0667eb7-6d8d-4f73-90c9-516535e926d2,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101018,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရွှေစက် ရပ်ကွက်,Shwe Set Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,2d6e4939-4778-460f-8dd5-99bdb41f5c06,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101019,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မန်ခိန် ရပ်ကွက်,Man Khein Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,bbaaf9fe-6f01-47dc-afcf-97ac83a1371e,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101020,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တပ်ကုန်း ရပ်ကွက်,Tat Kone Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,988bb55f-0679-4452-86e0-a2bbb90d09d4,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101021,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,စီတာပူ ရပ်ကွက်,Si Tar Pu Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,f66dbd29-06dd-47ad-8f2f-5c3404adfe23,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101022,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရမ်ပူ ရပ်ကွက်,Ram Pu Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,5c2cc739-368c-40c2-b715-aa5b22a76671,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101023,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ကြက်ပေါင်ခြံ ရပ်ကွက်,Kyet Paung Chan Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,302d4ccd-c195-4c33-b2ca-9e00355a0e8e,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101024,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြို့သစ်ကြီး ရပ်ကွက်,Myo Thit Gyi Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,e9233924-aebd-464a-99fd-e8e954603571,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101025,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,လယ်ကုန်း ရပ်ကွက်,Lel Kone Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,874c78e5-5da9-437c-aa29-438ec8cf85b0,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101026,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရွှေအိုက် ရပ်ကွက်,Shwe Aik Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,b8e7a8f3-80f6-4cdb-af9f-b48c9184ac1c,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101027,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရွှေပြည်သာ ရပ်ကွက်,Shwe Pyi Thar Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,5e698f2a-56fa-4f80-aa4b-150b18bba4f2,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101028,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပမ္မတီး ရပ်ကွက်,Pan Ma Ti Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,d3c638d3-0e5b-429a-90c0-e61717a32038,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101200,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အာလမ် ကျေးရွာအုပ်စု,Alam Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,f1c3cf6f-2dc5-4683-a4cd-783554507407,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001001:row4339:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101201,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နောင်နန်း ကျေးရွာအုပ်စု,Nawng Nang Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,81c4093a-627c-4c30-a625-1e863046579c,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001002:row4354:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101202,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပလနစခန်းများ ကျေးရွာအုပ်စု,Pa La Na Sa Khan Myar Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,f8bad030-9754-4f91-ad99-f9d6713926a5,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001003:row4360:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101203,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နန့်ကျင် ကျေးရွာအုပ်စု,Nam Kyin Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,c6d42a18-1c8c-4c9a-b97f-70f1aba6aed4,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001004:row4353:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101204,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,နန်းကွေ့ ကျေးရွာအုပ်စု,Nam Kwayt Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,f8d0b101-35b2-46cf-94f6-99156c7cac22,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001005:row4356:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101205,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ပမ္မတီး ကျေးရွာအုပ်စု,Pam Ma Ti Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,d3c638d3-0e5b-429a-90c0-e61717a32038,,exact_my,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101206,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မော်ဖေါင်း ကျေးရွာအုပ်စု,Maw Hpawng Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,a98e84f2-ba59-41fd-bd6a-34144d758437,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001007:row4351:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101207,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရှဒေါင် ကျေးရွာအုပ်စု,Sha Daung Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,0ee4f3c9-c91a-49ff-890e-347b288c0ce4,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001008:row4362:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101208,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,လွယ်ခေါ ကျေးရွာအုပ်စု,Loi Hkaw Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,6142c0b2-3302-4ee3-a73e-ac89c3d41b84,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001009:row4348:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101209,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တန်ဖဲ ကျေးရွာအုပ်စု,Tang Hpe Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,4d468940-0512-403a-ac33-71bb3bff9250,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001010:row4365:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101210,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အင်ဂျစ်ယန် ကျေးရွာအုပ်စု,In Jit Yang Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,d043d3dd-3ce4-4b87-9e8d-f693938ab68a,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001011:row4347:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101211,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တီယန်ဇွပ် ကျေးရွာအုပ်စု,Ti Yang Zug Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,0a48c2b9-e6b1-486a-9875-7afc0d492d65,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001012:row4370:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101212,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တာလောကြီး ကျေးရွာအုပ်စု,Ta Law Gyi Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,f2243824-c96b-4ade-a8d0-f19a1155759f,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001013:row4363:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101213,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ခေါင်ဖူးရွာသစ် ကျေးရွာအုပ်စု,Hkaung Hpu Ywar Thit Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,cb335311-69c1-4cd9-a952-8426c546c9c8,,exact_my,exact_local_frozen_create,linked to frozen create village_tract:MMR001001014:row4345:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101214,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ခေါင်ဖူးရွာဟောင်း ကျေးရွာအုပ်စု,Hkaung Hpu Ywar Haung Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,b77eb9e6-1077-4593-b657-b08b2a0c4992,,exact_my,exact_local_frozen_create,linked to frozen create village_tract:MMR001001015:row4340:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101215,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဟိုကပ် ကျေးရွာအုပ်စု,Ho Kat Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,5effd7eb-7ae3-49ed-9f28-8ebdf525e17d,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001016:row4346:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101216,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,စံကင်း ကျေးရွာအုပ်စု,San Kin Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,7cacb0c4-a1e3-4591-9925-8d98cb3313fa,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001017:row4361:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
0101217,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အကြဲ ကျေးရွာအုပ်စု,Ah Kye Village Tract,village_tract,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,09ca5a1c-4fc1-47e4-9367-404a9e0ab070,,exact_my+en,exact_local_frozen_create,linked to frozen create village_tract:MMR001001018:row4344:village_tract_boundary_Kachin_v94.zip_mmr_kch_polbnda_adm4_mimu_250k.shp via exact name under township,linked_exact_local_area,v3,false,true
