admin_public_id,language_code,alias_name,normalized_alias,preserve_primary,replace_primary,source_postal_code,reason,manifest_version,production_apply
3ecfaa25-83bb-4b28-8fe0-c82cf6f76764,en,Kan Kyi Kone Village Tract,kankyikone,true,false,1801218,postal EN spelling not in primary/alias set,v3,false
3263dd83-ab0c-400b-8f11-a6fd4666be4b,en,Moke Htaw Village Tract,mokehtaw,true,false,1801224,postal EN spelling not in primary/alias set,v3,false
c55c9801-4026-4229-961d-b4ee61c7fc2a,en,No (၅) Quarter,no၅,true,false,1802005,postal EN spelling not in primary/alias set,v3,false
ebca3073-c866-43f2-9c0f-2abe8955f41e,en,Tha Phan Cho Village Tract,thaphancho,true,false,1802202,postal EN spelling not in primary/alias set,v3,false
2fff1025-bac4-4faa-8141-93138755f060,en,Chaung Phyaunt Village Tract,chaungphyaunt,true,false,1802225,postal EN spelling not in primary/alias set,v3,false
9e2d2e39-a280-446b-b6da-b6172b9b9443,en,Tha Phan Kaing Village Tract,thaphankaing,true,false,1802231,postal EN spelling not in primary/alias set,v3,false
05ca2ee4-4f65-4ff0-b83e-e5f0f64e56f1,en,Kyoe Kyar Village Tract,kyoekyar,true,false,1803227,postal EN spelling not in primary/alias set,v3,false
b4047562-3d29-4dae-9639-a2144c7f5898,en,Hnget Taw Myee Village Tract,hngettawmyee,true,false,1805228,postal EN spelling not in primary/alias set,v3,false
876de540-55b0-4dbe-ac12-ac2bd9a45de0,en,Kyet Nar Village Tract,kyetnar,true,false,1805240,postal EN spelling not in primary/alias set,v3,false
3f70b6f1-0bc6-4df3-99ec-a6ddc9942ab5,en,Pyin Ka Toe Kone Village Tract,pyinkatoekone,true,false,1808242,postal EN spelling not in primary/alias set,v3,false
abaa620a-b48f-491e-8f28-ccbb67e540d2,en,Tin Goke Gyi Village Tract,tingokegyi,true,false,1810218,postal EN spelling not in primary/alias set,v3,false
93a60bdb-6d3a-4224-8c0e-af0d330bcf18,en,Chaung Zauk Village Tract,chaungzauk,true,false,1811209,postal EN spelling not in primary/alias set,v3,false
3acc214d-f7fe-482c-a9b7-f42b2f020a4c,en,Kyoe Kyar Kan Village Tract,kyoekyarkan,true,false,1812228,postal EN spelling not in primary/alias set,v3,false
c0c95d7c-dc35-4b6b-bf47-423c64eab89b,en,Dahmma Nge Village Tract,dahmmange,true,false,1812259,postal EN spelling not in primary/alias set,v3,false
15babad1-cf7b-4a5f-a68d-277f0f82c71c,en,Nga Kei Village Tract,ngakei,true,false,1813206,postal EN spelling not in primary/alias set,v3,false
